Time,X,Y,Z
1.078925,776.11,32.35004,759.04
2.098565,775.6785,32.37129,760.1668
3.123265,773.803,32.38113,761.7184
4.14172,772.4971,32.38112,762.214
5.166486,772.4971,32.38112,762.214
6.203905,772.4971,32.38112,762.214
7.208596,772.4466,32.38112,762.3263
8.220309,770.2618,32.45881,765.7875
9.223685,770.2463,33.18101,770.3546
10.24123,767.8037,33.58669,774.3818
11.27205,764.1329,34.1911,777.7494
12.27293,761.5786,35.02397,781.4922
13.28366,759.0475,35.8554,785.6326
14.29626,758.3156,35.84056,785.4956
15.31368,759.8759,34.90988,780.6549
16.39415,760.1991,34.54284,779.2396
17.41393,760.1991,34.54136,779.2396
