Time,X,Y,Z
0.9852787,587.25,99.40106,802.589
2.003903,587.4515,99.40107,801.4879
3.008997,586.4587,99.40106,800.2192
4.015493,585.5471,99.40106,800.117
5.020718,585.2664,99.40107,799.0825
6.02395,584.6689,99.40107,797.3177
7.078496,584.6689,99.40106,797.3177
8.079069,583.9964,99.40107,795.9166
9.13301,583.3759,99.40107,795.6062
10.13656,582.0472,99.40107,795.7509
11.13916,583.9797,99.40107,795.5771
12.14344,584.202,29.21043,796.2817
13.18047,584.1387,23.148,796.4396
14.18924,584.1387,7.13925,796.4396
15.1916,584.1387,-18.63066,796.4396
16.19435,584.1387,-54.25386,796.4396
17.21489,584.1387,-100.6475,796.4396
