Time,X,Y,Z
1.079048,776.11,32.31678,759.04
2.082043,776.11,32.31652,759.04
3.09401,776.11,32.3161,759.04
4.099733,775.7348,32.36238,757.1644
5.127803,771.7394,32.51164,755.0037
6.13289,767.2681,32.62208,757.3329
7.136554,767.0062,32.82512,762.3042
8.147439,767.7446,32.91216,767.1505
9.157236,767.7896,33.57138,772.0894
10.16074,764.9465,34.11006,776.2175
11.1649,761.8978,34.5222,780.207
12.18031,758.7996,35.51811,784.2292
13.1832,755.0802,36.6267,787.3218
14.19775,751.1258,36.49579,783.3941
15.20669,753.272,34.90251,778.7786
16.22084,758.4905,34.41673,777.894
17.22366,759.0635,34.45049,777.7136
18.23514,759.0635,34.45027,777.7136
19.26565,759.0635,34.4499,777.7136
20.27952,759.0635,34.44267,777.7136
21.28174,760.0791,34.2891,775.3802
22.28447,762.4339,33.80337,770.9583
23.29142,764.5396,33.51989,766.3859
24.3319,765.6456,33.15434,763.9238
25.33525,765.6456,33.15434,763.9238
26.39046,766.3804,32.92868,762.1089
27.39289,768.3177,32.52553,757.4865
28.39452,770.5046,32.77993,753.0269
29.39525,773.4481,33.01228,748.9821
30.39715,774.6632,32.92635,747.1912
31.39972,774.6632,32.92635,747.1912
32.40108,775.0822,33.02651,746.2676
33.43046,777.4149,33.75371,741.6934
34.44405,780.3685,34.41616,737.5763
35.46647,785.3528,34.4494,736.8725
36.46665,789.9825,34.1035,735.2479
37.47973,794.4209,34.12255,732.8658
38.49968,798.2389,34.58689,729.6437
39.50006,802.1441,34.87965,726.5543
40.52793,806.015,36.59945,723.1772
41.55513,810.048,37.17028,719.9979
42.60987,815.0886,37.19925,718.8039
43.61794,819.5577,37.18672,716.4737
44.69179,823.9766,36.45215,713.4517
45.72982,827.9188,35.50783,710.1387
46.74118,830.6439,34.22615,705.9255
47.77136,832.9908,32.68195,701.3552
48.79536,836.712,32.11213,697.8403
49.81421,841.1853,32.33106,698.9752
50.82514,845.7797,32.71728,700.5137
51.862,850.0704,32.69435,698.554
52.90459,854.3445,32.85693,695.7158
53.93972,857.9114,33.25208,692.0834
54.99656,858.2328,33.27697,691.4755
56.01236,858.2328,33.24944,691.4755
57.05133,858.2328,33.24944,691.4755
58.06874,858.2328,33.24944,691.4755
59.10543,858.2328,33.24944,691.4755
60.15927,858.2328,33.24944,691.4755
