Time,X,Y,Z
1.063006,6.4,3.697766,-12.63
2.079611,6.446437,3.705404,-12.50527
3.080849,7.382813,3.604669,-7.606765
4.085851,7.911713,3.67051,-2.626091
5.114259,9.437746,3.842444,-3.476853
6.117422,9.783207,3.684195,-8.469168
7.121281,8.260789,3.559833,-13.21509
8.126583,6.815049,3.73855,-18.01516
9.152851,5.500091,3.943252,-22.94095
10.15958,6.107172,3.739446,-27.53604
11.16303,6.107172,3.739446,-27.53604
12.16484,6.107172,3.739446,-27.53604
13.16693,6.107172,3.739446,-27.53604
14.17045,6.107172,3.739129,-27.53604
15.1724,6.107172,3.737377,-27.53604
16.17393,6.107172,3.737377,-27.53604
