Time,X,Y,Z
1.004089,776.11,32.35128,759.04
2.017367,776.11,32.34771,759.04
3.025533,776.11,32.34753,759.04
4.040126,776.11,32.34753,759.04
5.055985,776.11,32.34753,759.04
6.089708,774.7582,32.38112,759.0367
7.09751,774.3959,32.38112,758.5459
8.104785,774.0323,32.38113,759.1626
9.118097,774.1753,32.38112,758.8013
10.16142,774.1753,32.38112,758.8013
11.18968,774.1753,32.38112,758.8013
12.19727,774.1753,32.38112,758.8013
13.20143,774.1753,32.38112,758.8013
14.21169,774.1753,32.38112,758.8013
15.21925,772.9855,32.38113,759.6862
16.22397,772.4771,32.38113,760.0337
17.26182,772.9274,32.38113,758.9742
18.26531,773.7583,32.38657,757.726
19.28693,774.4249,32.38113,762.5853
20.29507,772.8755,32.38113,767.3589
21.30501,769.5302,33.33889,771.1396
22.31427,766.3382,33.79062,775.0428
23.32664,763.295,34.22692,779.0875
24.33072,761.583,35.03778,781.5665
25.33593,761.583,35.03778,781.5665
26.33987,761.583,35.03656,781.5665
27.35217,761.4829,34.34702,778.2653
28.36136,760.806,34.12956,773.2648
29.39669,762.9249,33.57138,769.001
30.4328,765.687,33.17486,764.6222
31.45391,765.8189,33.13559,764.3422
