Time,X,Y,Z
0.9848201,776.11,32.35128,759.04
2.035055,775.7491,32.37037,759.4593
3.072312,773.308,32.38113,761.1561
4.07672,773.308,32.38112,761.1561
5.086524,773.308,32.38112,761.1561
6.120654,773.308,32.38112,761.1561
7.123934,771.8941,32.38113,761.8519
8.155513,772.46,32.38112,760.7833
9.179493,772.46,32.38112,760.7833
10.17961,772.46,32.38112,760.7833
11.19776,769.7469,32.5154,761.514
12.20224,766.5161,32.88172,758.7728
13.22001,769.1863,32.69684,755.2048
14.23033,769.4235,32.48403,758.6801
15.2371,768.6457,32.53318,758.8154
16.24988,769.1578,32.49586,758.3991
17.26385,769.114,32.53187,759.1977
18.29505,768.1322,32.60859,760.7994
19.30461,767.6258,32.70261,761.5875
20.33044,767.6258,32.70206,761.5875
21.33965,767.6258,32.70201,761.5875
22.34204,767.6258,32.70156,761.5875
23.36526,767.6258,32.70156,761.5875
