Time,X,Y,Z
1.110317,-94.407,2.021818,72.707
2.121577,-94.40833,2.053517,72.70747
3.126224,-96.00305,1.918295,72.94961
4.129617,-96.00305,1.918295,72.94961
5.132786,-96.00305,1.917607,72.94961
6.136612,-96.00305,1.917607,72.94961
7.139037,-92.0681,1.873373,74.07368
8.16837,-88.20005,2.00402,71.67873
9.170671,-85.19682,2.263282,67.82164
10.17211,-82.40749,1.864654,63.80131
11.19918,-77.80212,1.684673,61.72631
12.22826,-74.96102,1.815242,57.66851
13.23256,-71.4141,2.049385,54.17916
14.26077,-68.47922,2.138803,50.07511
15.26391,-65.22327,2.734049,46.28698
16.29088,-61.98037,3.494038,43.46392
17.29167,-60.30978,3.61373,41.60087
18.32242,-60.30978,3.613238,41.60087
19.38099,-58.47457,3.216212,38.20458
20.3871,-57.68069,3.005731,33.71428
21.39137,-56.73835,2.529407,28.88543
22.39617,-56.74689,2.527009,23.94728
23.39652,-55.90168,2.546742,21.56159
24.39773,-53.86782,2.589556,22.1452
25.40545,-52.50147,2.691814,20.92981
26.42529,-52.28674,2.69623,21.13681
27.4304,-53.30503,2.671578,20.29894
28.43601,-58.17281,2.562975,21.557
29.46476,-56.17965,2.584659,20.35153
30.4947,-52.10849,2.352356,17.47395
31.5234,-48.68852,2.124153,14.1669
32.52695,-47.23367,2.014283,9.718432
33.5331,-46.88198,2.188936,4.988266
34.53597,-45.58629,2.251768,0.2266254
35.56713,-44.18976,4.100457,-4.69312
36.59248,-45.79116,4.168546,-9.355778
37.61792,-46.5821,3.851653,-14.4185
38.62642,-47.02082,2.30727,-19.44114
39.63048,-48.18365,2.137377,-24.30446
40.65741,-48.56535,2.175069,-25.49626
41.68204,-46.57116,2.208576,-23.38134
42.71705,-45.87692,2.311133,-18.16806
43.7728,-46.87911,3.633773,-13.17957
44.7745,-46.11584,4.168889,-8.22964
45.80511,-45.32004,4.088802,-3.138902
46.80882,-43.84933,2.218373,1.463426
47.81066,-41.67963,1.944135,5.855382
48.83755,-41.83143,1.818898,10.80034
49.84124,-36.91872,1.831167,11.92367
50.87129,-32.45114,1.797953,13.09033
51.87541,-28.42046,1.765164,10.38919
52.88139,-24.49436,1.71898,7.249524
53.91044,-21.51282,1.764777,3.230241
54.93661,-19.44943,1.754171,-0.9626952
55.96485,-17.27563,1.827471,-4.482421
56.99638,-16.99737,1.806509,-5.593567
57.99879,-17.98862,1.808378,-3.236153
59.02739,-16.66262,1.824994,-4.654785
60.05882,-13.57655,1.96898,-3.324087
61.06178,-9.774578,2.136202,-1.637318
62.09161,-5.067875,2.302945,-0.1189111
63.12261,-0.02944562,2.394958,0.9530417
64.15223,3.87927,2.551792,1.951253
65.15543,4.671365,2.647495,4.193738
66.16293,7.69317,2.421276,8.215442
67.19288,9.866796,2.297481,12.70349
68.22116,9.23385,2.285803,17.61757
69.22292,7.94294,2.160776,18.88146
70.25345,7.94294,2.160776,18.88146
71.28531,7.94294,2.160776,18.88146
72.30944,9.940967,2.233886,18.9124
73.3418,13.45579,2.350992,15.59886
74.34849,17.63108,2.072053,17.91953
75.35532,22.60174,2.159588,17.25785
76.35839,27.16158,2.097828,19.09276
77.36121,30.51424,2.008792,22.82059
78.37971,34.98752,2.016968,25.24413
79.38797,39.47829,2.079036,27.53182
80.39409,44.15406,2.014283,29.37683
81.39661,46.79422,2.585021,30.67937
82.44267,46.79422,2.585021,30.67937
83.45036,46.79422,2.584638,30.67937
84.46798,46.79422,2.584638,30.67937
85.47752,45.6907,2.566915,29.90404
86.50764,41.61448,1.996713,26.75568
87.53752,44.34928,2.009537,28.39216
88.56899,48.26723,2.089241,31.74387
89.57453,52.17726,2.076143,34.90377
90.57532,56.23176,1.941036,37.81346
91.57903,58.01653,1.902319,37.3942
92.57964,53.20942,2.081048,38.56559
93.58271,56.70251,1.901558,38.94654
94.58288,54.36648,1.974733,38.55556
95.58643,57.73917,1.877751,38.53626
96.62145,61.81475,4.811409,37.00061
97.6743,65.90661,8.160805,35.4267
98.71487,64.55493,8.041298,35.8002
99.72997,60.21969,4.601137,36.93159
100.7342,55.39596,1.957214,38.2722
101.7398,55.91259,1.920498,39.05626
102.7399,60.54161,3.557637,37.28532
103.7417,65.10636,8.283489,35.6628
104.7699,66.03412,8.207328,34.37101
105.7966,67.3279,8.334491,32.15602
106.8266,66.29706,8.428542,33.72783
107.8574,68.23943,8.051221,36.54891
108.8628,65.95422,8.005337,36.75352
109.8648,65.81069,8.140443,35.82994
110.8662,66.44365,8.09783,36.07621
111.8953,68.20321,8.442486,32.90093
112.8983,67.93515,8.075444,35.21397
113.9023,67.93515,8.075408,35.21397
114.9033,67.93515,8.075257,35.21397
115.9051,71.81979,8.023889,33.93574
116.912,74.92719,8.014405,33.39217
117.9202,77.03276,8.063987,32.33577
118.9461,78.09628,8.445653,27.43938
119.9487,77.09405,8.630408,22.63437
120.9734,80.97348,8.646115,23.67713
121.9821,79.25102,8.487021,27.06778
122.9826,79.40923,8.536487,25.63531
123.9839,79.6761,8.486058,27.53004
125.0118,79.51672,8.549442,25.80457
126.0171,80.80664,8.514924,27.50531
127.0471,79.4446,8.547027,25.84374
128.0519,79.22321,8.522122,25.5604
129.0543,81.30437,8.446443,27.98057
130.0565,81.30437,8.446225,27.98057
131.0597,81.30437,8.444741,27.98057
132.0848,79.03118,8.525012,25.7934
133.0891,79.03118,8.522257,25.7934
134.0908,80.81197,8.514923,27.55144
135.0926,80.81197,8.514923,27.55144
136.1489,80.42583,8.584363,24.46233
137.182,78.6835,9.11567,19.37217
138.1865,78.6342,9.06569,14.92017
139.2433,80.53782,9.158533,10.43801
140.2478,79.21127,9.838771,5.830443
141.249,77.18179,10.55035,1.279868
142.2511,77.21932,10.71163,-3.685428
143.2829,76.55583,10.89586,-8.794167
144.3079,74.65398,11.60515,-11.42412
145.309,73.87956,11.49284,-9.435483
146.3098,75.04433,10.9319,-7.710354
147.3145,74.45403,10.99874,-4.020257
148.3197,75.1501,10.97253,-2.448436
149.3471,75.0185,10.99518,-2.553931
150.3484,75.20951,10.88117,-7.300507
151.3538,77.0443,11.00263,-11.76055
152.358,78.73766,11.31037,-16.44878
153.3865,77.46523,11.12939,-21.37046
154.4163,76.96175,10.96869,-26.48965
155.4429,77.63925,10.85882,-31.55439
156.4756,81.07472,11.04427,-35.02545
157.5081,83.42425,11.3323,-36.88976
158.5543,83.46338,11.35626,-37.03729
159.563,82.74805,11.38535,-40.40178
160.5927,79.62589,11.13141,-44.22206
161.5935,77.82626,11.25624,-48.81306
162.647,75.61507,11.08285,-49.7773
163.6527,76.82308,11.1246,-47.72957
164.6801,77.70599,11.19172,-50.25084
165.6901,74.99868,11.42569,-51.01957
166.7173,73.9474,11.49214,-50.71991
167.7703,73.7198,11.49214,-50.75835
168.7739,72.52322,10.4107,-50.74825
169.7769,69.27721,6.803563,-51.09804
170.7791,67.74257,5.330896,-50.70296
171.7814,65.63071,2.979783,-50.88486
172.7845,64.4154,2.599613,-49.34275
173.787,63.24296,2.621497,-50.64658
174.7873,59.43947,2.472075,-53.22748
175.7904,54.58168,2.613026,-52.54721
176.8193,50.06111,2.714966,-50.87702
177.8737,48.4967,3.135843,-46.14164
178.9062,46.05724,3.268314,-41.95827
179.9384,41.33875,2.716226,-40.47739
180.9417,36.48803,2.74001,-39.29637
181.9708,32.38637,2.355334,-41.69253
182.9776,27.76541,2.104693,-42.34697
183.9807,24.67656,1.898232,-46.1781
184.9844,21.47889,1.689528,-49.87454
185.9853,19.16216,3.183597,-52.53785
187.0139,16.45663,3.080311,-56.86256
188.0175,13.81165,2.378999,-61.09948
189.0413,9.382215,1.889427,-61.82102
190.0732,6.248622,2.032594,-63.12305
191.1011,6.248622,2.032594,-63.12305
192.1039,6.248622,2.03251,-63.12305
193.1077,6.248622,2.03251,-63.12305
194.1389,2.254797,2.140469,-62.04049
195.1421,0.1512328,2.274621,-61.14256
196.1427,0.1512328,2.267822,-61.14256
197.1734,0.1512328,2.267822,-61.14256
198.2032,0.1512328,2.267822,-61.14256
199.2352,-0.08755255,2.294969,-61.03651
200.2361,-4.750261,2.681801,-59.41582
201.2398,-9.768583,2.511777,-59.44977
202.2427,-12.4394,2.19996,-57.77746
203.2444,-13.34186,2.21153,-57.29914
204.2535,-17.05126,2.581683,-53.91464
205.2769,-19.3847,2.348041,-50.91963
206.3062,-20.75128,2.227745,-51.36553
207.3362,-21.49287,2.174707,-51.82172
208.3662,-26.35038,2.297643,-50.90955
209.3754,-28.46973,2.516011,-48.5472
210.4011,-31.32943,2.338745,-48.11449
211.4074,-34.58195,2.110084,-48.06097
212.433,-39.48398,1.934042,-47.02463
213.4622,-44.38069,2.028951,-45.44677
214.4704,-48.28189,1.995971,-42.54673
215.5289,-49.65356,2.007701,-37.62623
216.5306,-49.7909,2.415394,-32.93064
217.5596,-49.57531,2.230066,-27.99677
218.5666,-49.18008,2.072752,-22.97823
219.5948,-48.86823,2.375392,-17.8469
220.5963,-46.92543,3.414258,-13.54687
221.5976,-44.59658,4.116693,-10.72481
222.5999,-44.57545,4.083567,-12.74261
223.6297,-47.11524,2.352025,-16.83523
224.6552,-48.7103,3.259444,-14.50862
225.6567,-47.89458,3.433327,-13.63079
226.688,-47.5284,4.140615,-9.721213
227.6891,-48.19449,4.135336,-10.13803
228.6973,-47.94894,4.152345,-9.320821
229.7001,-46.93387,4.127972,-10.83752
230.7012,-48.02296,4.228262,-6.315959
231.7076,-45.58316,4.245449,-5.157903
232.7358,-44.45725,2.795683,-2.271378
233.7372,-42.61693,2.313455,0.7186122
234.7379,-45.16826,2.059576,5.022929
235.7688,-48.47101,2.101286,8.830837
236.7992,-50.92178,2.157495,12.88647
237.8285,-46.71424,2.036854,15.45644
238.8322,-44.07582,1.899927,13.12113
239.8621,-39.90269,1.820588,12.19048
240.8924,-40.25793,1.843066,12.49782
241.9179,-45.26511,1.941036,13.58807
242.9269,-50.16105,2.211128,14.78705
243.9302,-53.40157,2.51794,18.52952
244.9539,-50.49551,2.332033,18.27458
245.9548,-46.06316,2.078943,16.07425
246.959,-41.67483,1.893624,14.0367
247.9878,-36.74877,1.831166,12.97868
248.9929,-31.97566,1.811284,11.47103
249.9984,-27.38912,1.741884,9.642408
251.0256,-22.38622,1.734356,9.130854
252.0261,-18.90584,1.812855,5.731425
253.0564,-14.83966,1.793471,2.570283
254.058,-10.40285,2.227089,1.591516
255.0876,-5.464825,2.389411,0.367256
256.1171,-1.685699,2.591407,3.255744
257.1482,2.642719,2.725196,4.671055
258.179,5.109883,2.7722,8.476759
259.1803,8.347412,2.362205,12.08065
260.2112,9.135787,2.298013,15.39805
261.2139,8.089263,2.225945,17.90207
262.2187,7.529084,2.139019,19.45074
263.246,7.529084,2.138939,19.45074
264.2772,7.529084,2.138939,19.45074
265.2789,7.529084,2.138939,19.45074
266.2874,7.529084,2.138939,19.45074
267.3135,6.808938,2.070999,20.97039
268.3634,6.472187,2.068527,21.7325
269.3691,6.472187,2.068527,21.7325
270.3704,6.472187,2.068519,21.7325
271.3738,6.472187,2.068519,21.7325
272.378,6.472187,2.068519,21.7325
273.3802,6.472187,2.068519,21.7325
274.3835,6.472187,2.068519,21.7325
275.3861,6.941249,2.070659,20.3056
