Time,X,Y,Z
1.082765,6.4,3.697766,-12.63
2.08492,6.361998,3.635861,-11.48975
3.085134,6.209175,3.715521,-6.491044
4.090461,5.88809,3.632357,-3.787654
5.117795,5.88809,3.62888,-3.787654
6.125371,5.88809,3.628435,-3.787654
7.127514,5.88809,3.628435,-3.787654
8.128708,5.88809,3.628435,-3.787654
9.154791,5.88809,3.628435,-3.787654
10.16359,5.88809,3.628435,-3.787654
11.16764,5.88809,3.628435,-3.787654
12.17058,5.88809,3.628435,-3.787654
13.17257,5.88809,3.628435,-3.787654
14.20359,5.88809,3.628435,-3.787654
