Time,X,Y,Z
1.073075,6.4,3.697766,-12.63
2.085944,6.4,3.697766,-12.63
3.091888,6.4,3.697766,-12.63
4.097798,6.4,3.697766,-12.63
5.099788,7.376217,3.621163,-8.520764
6.126452,9.081721,3.847741,-3.682234
7.133763,10.61477,3.480819,1.11503
8.160336,12.17223,3.30597,6.005842
9.163493,13.68143,3.30597,10.78893
10.19176,14.94784,3.305969,13.99474
11.19909,14.82203,3.30597,9.493166
12.20233,13.37262,3.305969,6.634804
13.20349,13.37262,3.305969,6.634804
14.22858,13.15064,3.30597,4.822767
15.23649,12.15373,3.452817,1.330577
16.23985,12.42149,3.305969,6.334497
17.24078,12.57094,3.305969,7.720967
18.24456,12.57094,3.305969,7.720967
19.24634,12.57094,3.305969,7.720967
20.248,12.47248,3.30597,7.25971
21.25138,11.87348,3.397431,2.278783
22.25479,11.2998,3.800384,-2.705319
23.25742,10.69253,3.681248,-7.681075
24.28529,10.47631,3.766636,-9.565482
25.28692,8.025515,3.602364,-12.72404
26.29128,8.025515,3.602283,-12.72404
27.29446,7.763014,3.594179,-13.46871
28.29596,7.362052,3.628609,-17.52913
29.29908,7.345222,3.73725,-19.13861
30.30195,6.219086,3.946153,-23.9903
31.30324,6.19837,3.96006,-24.58048
32.30558,7.67693,3.759322,-19.79304
33.30733,7.038114,3.801897,-22.20235
34.31131,7.682312,3.711051,-20.54619
35.31278,8.080953,3.709913,-19.20847
36.33552,8.080953,3.70984,-19.20847
37.33875,8.080953,3.709642,-19.20847
38.34325,8.080953,3.709642,-19.20847
39.34754,8.080953,3.708743,-19.20847
40.35191,8.080953,3.705258,-19.20847
41.3825,8.080953,3.705258,-19.20847
42.38425,8.080953,3.699077,-19.20847
43.38737,8.080953,3.699077,-19.20847
44.38888,8.080953,3.699077,-19.20847
