Time,X,Y,Z
89.99995,1407.74,22.68391,431.33
91.00505,1407.74,22.68267,431.33
92.00742,1407.74,22.68267,431.33
93.01405,1406.163,23.02137,433.1802
94.02226,1407.022,23.4102,437.9102
95.02606,1403.592,22.61918,440.6351
96.02852,1401.269,22.75175,444.1719
97.03226,1399.651,22.89824,448.5466
98.06467,1400.249,23.00203,452.8577
99.06571,1398.145,23.0798,456.8272
100.0667,1395.354,23.1641,460.972
101.0689,1392.054,22.92102,464.7087
102.071,1389.763,22.70004,469.1334
103.0726,1387.59,22.5546,473.6321
104.0771,1385.556,22.4315,478.2103
105.0772,1383.158,22.01417,481.8454
106.0776,1380.678,21.57289,486.0753
107.0812,1378.572,21.15629,490.5927
108.0856,1376.59,20.85446,495.2046
109.1113,1375.156,20.65043,499.8563
110.1149,1375.267,21.21722,504.3536
111.1196,1373.469,21.38053,508.4028
112.1225,1372.601,21.68508,512.3442
113.1246,1372.601,21.68269,512.3442
114.1269,1371.937,22.28245,516.5829
115.1308,1368.143,21.70512,519.652
116.1329,1365.392,21.736,523.6711
117.136,1361.846,21.61808,527.145
118.1371,1358.926,22.05512,531.1031
119.1399,1356.459,22.86559,535.3948
120.1415,1353.397,23.72441,539.314
121.1442,1349.896,23.83411,542.411
122.1463,1346.779,23.99928,546.3314
123.1482,1343.647,24.28061,550.2382
124.1758,1339.996,24.68795,553.8425
125.1784,1336.778,24.93152,557.6859
126.1816,1333.6,24.93591,561.5676
127.1837,1330.383,24.95273,565.4073
128.1874,1327.093,25.06895,569.1963
129.1898,1323.815,25.17095,572.9872
130.1922,1320.598,25.27321,576.8301
131.1944,1317.601,25.40348,580.844
132.1951,1314.135,25.54577,584.45
133.1988,1310.853,25.68125,588.2449
134.1994,1308.451,25.67178,592.323
135.2031,1305.158,25.76834,595.806
136.2063,1303.096,25.8098,600.3282
137.2323,1300.787,25.83093,604.8943
138.233,1298.495,25.74511,609.3367
139.2361,1295.726,25.82401,613.5173
140.2419,1292.624,25.8483,617.4727
141.2423,1289.685,25.91002,621.4492
142.2439,1287.026,25.95704,625.5992
143.2723,1283.497,26.02066,629.2854
144.2745,1280.093,26.09528,632.9453
145.2774,1276.204,26.17562,636.1027
146.2816,1271.944,26.30879,638.7578
147.2869,1268.024,26.41625,641.5153
148.2901,1264.27,26.49704,644.2104
149.292,1260.219,26.59087,646.5696
150.3194,1255.748,26.68922,648.8719
151.3255,1251.135,26.78023,650.768
152.328,1246.283,26.93265,652.0303
153.3306,1241.43,27.26555,653.2846
154.3329,1236.579,27.85602,654.5432
155.3347,1231.71,28.9624,655.7162
156.3371,1226.811,30.16229,656.2869
157.366,1221.726,30.22897,657.0541
158.37,1216.749,30.18345,657.7075
159.4013,1211.647,30.52745,658.1589
160.4289,1206.589,30.15294,657.7786
161.4326,1201.576,30.0279,657.9869
162.4355,1196.562,29.32986,658.0465
163.4384,1191.611,29.47405,657.6757
164.442,1186.868,30.17381,656.3222
165.4444,1182.351,30.56884,654.3762
166.4697,1177.981,31.05584,651.9282
167.4757,1173.737,31.61173,649.229
168.5025,1169.406,32.77953,646.4774
169.5068,1165.586,34.0503,643.2284
170.5339,1161.524,35.21181,640.1249
171.5351,1158.046,36.0388,637.9552
172.539,1155.61,36.48399,636.08
173.5666,1153.531,36.81706,634.5776
174.5897,1152.39,36.92411,633.513
175.5925,1152.208,36.84931,633.9805
176.6013,1153.049,36.4085,636.8154
177.604,1153.049,36.4085,636.8154
178.6318,1152.263,36.43621,636.6486
179.6364,1147.744,36.62796,635.5884
180.639,1142.8,36.90949,634.7982
181.6656,1138.261,37.39336,633.811
182.7076,1133.159,38.40254,632.8265
183.7279,1129.061,39.5468,633.3763
184.7283,1124.884,40.59231,634.983
185.746,1119.856,41.59175,635.1149
186.7527,1117.857,41.63468,634.806
187.76,1113.448,41.82969,634.3779
188.7626,1110.693,41.83241,633.7601
189.7702,1110.693,41.81721,633.7601
190.7887,1109.933,41.64259,634.2302
191.8142,1107.409,41.54222,634.4245
192.8259,1106.514,42.01834,630.3909
193.8487,1102.848,42.50999,626.8867
194.8511,1099.025,43.12019,625.7342
195.8513,1094.342,43.32684,625.6553
196.8539,1089.463,42.74286,624.6998
197.858,1084.46,41.53232,624.467
198.8641,1079.573,40.67222,624.2988
199.8669,1074.617,39.95418,624.7296
200.8727,1069.599,39.02969,624.7529
201.8955,1064.633,38.33127,623.8602
202.8992,1059.875,38.30082,625.3112
203.9016,1054.867,38.51311,625.1605
204.9301,1049.734,38.89063,624.8397
205.9331,1044.731,39.17738,624.9919
206.9635,1039.671,39.57883,624.216
207.9663,1034.669,40.36569,623.8733
208.9688,1029.735,41.01013,623.08
209.9693,1024.812,41.16079,622.8401
210.9806,1019.944,41.11945,623.2983
211.9819,1015.127,41.29834,622.6241
212.9873,1010.231,42.25505,622.0052
214.0124,1005.551,42.49873,620.0154
215.0198,1001.448,41.95045,617.2784
216.0225,997.3812,41.06506,614.4722
217.0269,992.8654,40.31861,612.6022
218.0319,988.1653,39.79839,611.6259
219.0324,983.2072,40.09937,611.2612
220.0347,978.1963,40.75863,611.2033
221.0379,973.917,41.25834,612.5977
222.0618,969.3748,41.28062,614.2908
223.0623,964.4863,40.44547,614.5881
224.0641,959.6203,40.01601,615.7294
225.088,954.7819,39.9132,617.3871
226.0967,949.9362,39.85582,618.7813
227.1032,945.0268,39.83283,619.7558
228.1296,941.1461,39.73123,622.1633
229.1578,936.3622,39.54626,623.9806
230.1856,931.84,39.13165,626.4218
231.2132,927.2952,38.44746,628.8187
232.2193,924.1794,37.63949,632.1827
233.2475,921.1053,37.22039,635.5775
234.2552,917.5795,36.89178,639.061
235.2568,913.9612,36.57055,642.2094
236.2619,911.1648,36.4526,646.1779
237.2707,907.9732,36.32623,650.0741
238.2893,904.6352,36.14077,653.9097
239.2967,901.4668,36.0724,657.8204
240.2974,898.2172,35.90923,661.6248
241.3003,894.3786,35.77293,664.712
242.3026,891.1808,35.45317,668.5534
243.3111,887.6688,34.91614,672.1677
244.316,884.2401,34.3856,675.8289
245.3195,880.4903,34.16489,678.9584
246.3468,876.5253,34.13905,682.2159
247.3503,872.1277,34.32536,684.3477
248.3549,868.66,34.10652,687.6765
249.3592,864.5214,33.95714,690.5205
250.376,860.0762,33.49715,692.5584
251.3859,855.6311,32.96306,694.9542
252.3921,851.347,32.67701,697.589
253.3932,846.9746,32.58041,699.9999
254.3947,842.5231,32.68481,702.2916
255.3979,838.0663,32.80025,704.5935
256.4037,833.578,33.5856,706.8616
257.4084,829.9318,34.87504,709.3333
258.4102,826.1874,35.95169,712.354
259.4128,821.9479,36.78727,714.8791
260.416,817.1959,37.23543,716.329
261.4171,812.3044,37.59066,717.2821
262.4192,808.4627,37.21277,720.3558
