Time,X,Y,Z
0.9880862,776.11,32.35128,759.04
2.004474,776.11,32.35128,759.04
3.162135,776.11,32.35128,759.04
4.16644,773.9329,32.38113,761.2121
5.17792,772.6014,32.38113,765.5984
6.182319,768.8119,33.16423,768.6818
7.195781,769.0189,33.16931,768.8873
8.199789,769.6412,32.93208,768.598
9.2049,770.1721,32.74622,768.1461
10.20955,769.9817,32.90174,768.6491
11.21139,770.681,32.66704,768.2303
12.23085,770.0442,32.93419,768.804
13.24709,770.4069,32.47226,766.9153
14.26526,770.4069,32.47226,766.9153
15.27542,770.4069,32.47226,766.9153
16.27814,770.4069,32.47226,766.9153
17.2791,770.4069,32.47226,766.9153
18.29528,770.4069,32.47226,766.9153
19.29678,770.4069,32.47226,766.9153
20.30379,770.4069,32.47226,766.9153
21.3235,770.4069,32.47226,766.9153
22.34247,770.4069,32.47226,766.9153
23.35812,770.4069,32.47226,766.9153
24.37019,770.4069,32.47226,766.9153
25.38177,770.4069,32.47226,766.9153
26.39438,770.4069,32.47226,766.9153
27.40185,770.4069,32.47226,766.9153
28.41132,770.4069,32.47226,766.9153
29.42115,770.4069,32.47226,766.9153
30.42203,770.4069,32.47226,766.9153
31.42308,770.4069,32.47226,766.9153
32.44011,770.4069,32.47226,766.9153
33.67656,770.4069,32.4712,766.9153
34.68821,770.4069,32.47108,766.9153
35.71117,770.4069,32.47026,766.9153
36.71489,770.4069,32.46986,766.9153
