Time,X,Y,Z
0.9882231,-94.407,2.021818,72.707
1.993693,-94.407,2.019734,72.707
2.997581,-94.407,2.018758,72.707
4.002395,-94.407,2.018758,72.707
5.01519,-92.61488,1.955127,72.7206
6.026012,-92.29086,2.752262,68.07262
7.028115,-87.74501,2.469969,68.17609
8.030977,-84.62028,1.994567,65.05268
9.033597,-80.74463,1.772437,63.57048
10.03604,-81.0284,1.776231,63.44139
11.12534,-77.41827,1.666361,63.46798
12.12743,-78.08212,1.666361,62.88141
13.15665,-79.98407,1.776231,62.28951
14.21205,-78.82317,1.672625,61.98877
15.23706,-78.87769,1.720068,61.71392
16.37422,-81.11117,1.776231,61.8233
17.39962,-81.5406,1.760649,61.9861
18.40688,-84.25995,1.933049,64.43172
19.40996,-81.59383,1.747479,60.51772
20.41022,-81.08958,1.814082,60.30082
21.57928,-82.5807,1.806738,64.42931
22.58495,-80.74048,1.773069,63.38455
23.86255,-79.67659,1.764668,62.92476
24.89081,-74.83153,1.666362,63.8521
25.90163,-72.98732,1.871166,68.28867
27.18319,-77.33319,3.310296,72.03496
28.21893,-76.87435,3.444263,72.6523
29.26052,-76.81931,3.017323,70.3664
30.27299,-78.32074,2.196199,68.39191
31.44087,-79.61296,1.89664,67.4435
32.4442,-79.60081,1.962344,67.61288
33.44729,-75.75023,2.891604,70.43326
34.70561,-77.4959,2.614741,69.75803
35.73183,-77.4959,2.610669,69.75803
36.73437,-77.4959,2.600121,69.75803
37.73953,-77.4959,2.58061,69.75803
38.74241,-77.4959,2.572342,69.75803
39.75774,-77.48452,-8.264381,69.70306
40.78384,-77.48452,-15.63755,69.70306
41.79306,-77.48452,-32.99077,69.70306
42.8399,-77.48452,-61.72926,69.70306
43.8693,-77.48452,-100.9687,69.70306
44.96773,-77.48452,-154.4436,69.70306
