Time,X,Y,Z
1.098171,776.11,32.35128,759.04
2.128844,776.11,32.34987,759.04
3.133808,775.0912,32.38113,761.0957
4.137712,772.7221,32.38113,765.5179
5.14021,769.2966,33.16404,769.1755
6.17241,767.3794,33.60958,773.947
7.174056,765.2294,34.06217,778.47
8.176769,762.3721,35.11382,782.5739
9.179833,760.1539,35.99914,787.0693
10.22469,758.9149,36.93823,792.1393
11.22601,756.9958,37.93462,796.7427
12.24287,754.2031,38.87205,800.8702
13.29747,750.4645,40.16851,804.5749
14.30414,747.5809,40.90371,808.6879
15.33406,744.7612,41.17147,812.9971
16.34108,741.9559,39.62106,817.1785
17.343,738.7903,39.18204,821.0456
18.36629,735.0721,39.93377,824.5591
19.39082,731.3224,41.57243,828.0471
20.44856,728.4882,41.96223,830.7336
21.44994,730.9777,41.54307,827.2751
22.48883,733.7452,40.39655,822.8815
23.49119,736.1318,40.79575,818.4747
24.49764,736.2064,40.79224,818.3306
25.51236,736.2064,40.76599,818.3306
26.52982,736.2064,40.75225,818.3306
27.53374,736.2064,40.46399,818.3306
28.54649,736.2064,40.46399,818.3306
29.56264,736.2064,40.46399,818.3306
30.56323,736.2064,40.46399,818.3306
31.57147,736.2064,40.46399,818.3306
32.57755,736.2064,40.46399,818.3306
33.58057,736.2064,40.46399,818.3306
34.58118,736.2064,40.46399,818.3306
35.58743,736.2064,40.46399,818.3306
36.59194,736.2064,40.46399,818.3306
