Time,X,Y,Z
0.9808041,6.4,3.697766,-12.63
1.982558,6.4,3.697263,-12.63
2.985263,10.53529,3.669333,-12.15191
3.988266,12.87759,3.718349,-7.916775
4.994114,13.03498,3.801397,-3.418355
6.021346,16.51968,3.547318,0.1734827
7.023589,21.48697,3.573238,0.1702534
8.029066,25.84932,3.750427,-1.02223
9.03189,30.82638,4.476137,-0.4921694
10.03552,35.84435,4.977855,-0.4602928
11.04067,40.55479,4.652381,1.154189
12.04177,45.04982,4.36595,2.99181
13.04466,49.29175,4.907427,3.477504
14.04564,51.41808,5.945561,7.650047
15.04611,51.3171,5.730975,12.47902
16.04964,52.22036,4.804186,17.09046
17.07593,52.22036,4.802252,17.09046
18.09094,52.22036,4.802252,17.09046
19.09124,52.22036,4.802252,17.09046
20.09196,52.22036,4.802252,17.09046
21.11673,52.22036,4.802252,17.09046
22.13768,52.22036,4.79768,17.09046
23.14398,52.22036,4.79768,17.09046
24.14769,52.22036,4.79768,17.09046
25.1519,52.22036,4.795442,17.09046
26.15654,52.22036,4.795442,17.09046
27.16134,52.01138,4.444073,21.54046
28.16376,52.87825,3.929806,26.46468
29.19127,52.9083,3.875988,26.78967
30.19529,52.9083,3.875941,26.78967
31.19746,52.9083,3.875941,26.78967
32.20058,52.9083,3.875941,26.78967
33.20099,52.9083,3.875941,26.78967
34.20498,52.68221,3.805916,27.90247
35.20832,50.64153,4.365127,32.38204
36.20982,49.97173,4.265502,34.11655
37.2105,48.20283,4.248955,35.90474
38.21402,48.20283,4.248955,35.90474
39.21739,48.20283,4.248955,35.90474
40.21919,48.20283,4.245544,35.90474
41.22114,48.20283,4.24281,35.90474
42.22561,47.68101,4.613578,38.50537
43.22668,47.98032,4.726551,43.18163
44.22776,48.05498,4.725852,43.17212
45.23122,50.16932,5.030019,40.58829
46.23335,49.42097,4.917396,39.73201
47.23634,50.40062,5.01416,42.65882
48.23855,52.36404,4.770829,45.88787
49.24062,56.11385,4.611824,49.0671
50.24227,58.53902,4.351501,49.84698
51.24633,62.98672,3.78899,49.91718
52.24679,66.12453,3.47791,49.69039
53.24967,69.47431,3.262235,49.11595
54.25216,69.47431,3.262235,49.11595
55.25264,67.82121,3.360905,48.24475
56.25748,63.02275,3.66383,47.00269
57.25991,58.25977,4.288656,45.45033
58.26235,53.46159,5.137524,44.00138
59.26554,49.01331,5.019012,42.16994
60.29351,49.01331,4.982229,42.16994
61.32136,49.01331,4.97591,42.16994
