Time,X,Y,Z
1.17813,1407.74,22.68329,431.33
2.181994,1407.74,22.68034,431.33
3.188159,1407.74,22.67979,431.33
4.19012,1407.74,22.67937,431.33
5.193789,1407.74,22.67921,431.33
6.196418,1407.74,22.67921,431.33
7.19964,1407.74,22.67921,431.33
8.202275,1407.74,22.67921,431.33
9.207025,1407.74,22.67921,431.33
10.20712,1407.74,22.67921,431.33
11.20849,1407.74,22.67921,431.33
12.20877,1407.74,22.67921,431.33
13.21109,1407.74,22.67921,431.33
14.21362,1408.009,22.69384,431.5816
15.21616,1408.073,22.73263,431.6686
16.21981,1407.052,22.65461,431.0602
17.22401,1406.847,22.49735,428.9017
18.2243,1402.894,22.44537,428.5417
19.22739,1398.716,22.82422,426.676
20.22896,1397.504,22.7816,427.3122
21.23234,1396.555,22.66231,426.5655
22.25492,1395.476,22.78287,427.1159
23.26251,1394.118,22.61422,427.8264
24.26721,1394.198,22.61974,428.2117
25.26938,1398.368,22.63728,430.1007
26.2752,1402.249,22.57067,433.0661
27.28102,1404.757,23.04401,437.2922
28.28508,1406.797,22.8605,441.8152
29.30686,1409.714,22.69302,444.4659
30.33266,1414.621,22.76422,443.143
31.33749,1416.315,22.40383,446.8781
32.34002,1415.332,22.48098,446.2492
33.34395,1415.958,22.34821,447.4404
34.34764,1416.013,22.17735,448.0698
35.34958,1416.175,22.16308,448.0967
36.35318,1416.189,22.168,448.0777
37.35499,1415.63,22.3058,447.6717
38.35796,1411.469,22.65242,444.9356
39.36077,1409.761,22.66077,444.7202
40.36365,1409.761,22.66001,444.7202
41.36639,1409.761,22.66001,444.7202
42.36739,1409.761,22.66001,444.7202
43.37012,1409.761,22.66001,444.7202
44.37231,1409.761,22.66001,444.7202
45.37545,1409.761,22.66001,444.7202
46.37729,1409.761,22.66001,444.7202
47.38255,1409.761,22.66001,444.7202
48.38337,1409.761,22.66001,444.7202
49.47979,1409.761,22.66001,444.7202
