Time,X,Y,Z
1.064282,6.4,3.697766,-12.63
2.076954,6.4,3.697766,-12.63
3.078145,6.4,3.697766,-12.63
4.104506,6.4,3.697766,-12.63
5.111427,6.4,3.69685,-12.63
6.114524,6.4,3.696628,-12.63
7.11872,6.636091,3.671591,-9.079636
8.123211,5.880085,3.684497,-4.12965
9.125961,5.697277,3.438108,0.8713914
10.12691,5.48484,3.30597,5.782058
11.13172,5.48484,3.305969,5.782058
12.13421,5.499827,3.305969,5.731679
13.13672,6.173349,3.455177,0.9703611
14.14028,4.708466,3.665605,-3.798307
15.16533,3.555444,3.751029,-7.099542
16.19839,2.679999,3.6277,-12.18727
17.19883,2.647206,3.658346,-13.27267
18.20054,2.080811,3.847538,-18.06352
19.20251,6.196191,3.829594,-20.70554
20.20813,8.076906,3.643162,-25.15184
21.21002,8.29351,3.779248,-28.90398
22.21043,7.184688,3.869105,-33.59617
23.2112,6.861058,4.025928,-38.55415
24.21766,6.300381,3.797601,-43.54961
25.22024,6.007797,3.993064,-45.38552
26.22209,7.097879,4.23737,-49.99903
27.22227,11.31303,4.295873,-52.14663
28.22816,15.45045,4.427487,-53.92518
29.22975,19.44138,4.715675,-56.94139
30.23185,22.34731,4.889911,-57.43441
31.23489,27.27355,4.669235,-58.35692
32.23807,30.87474,4.162555,-55.86729
33.24068,34.8493,3.830986,-52.84356
34.24297,39.36636,3.802241,-50.68732
35.24522,41.63861,3.620557,-47.2272
36.24819,42.35004,3.644677,-42.48999
37.24907,43.42304,3.795912,-37.64785
38.27665,45.36516,3.684371,-32.91698
39.28078,45.90743,3.931766,-28.06817
40.28537,45.09232,4.976446,-23.91334
41.28652,46.87737,4.912623,-19.29279
42.2892,47.8295,5.06987,-14.45825
43.29192,48.22618,4.868621,-11.14
44.29449,48.23738,4.856171,-11.09879
45.29705,49.79922,4.689366,-7.410568
46.2979,50.79939,4.6664,-6.369991
47.30313,52.67799,4.693759,-3.678337
48.30432,52.70403,4.742555,-2.941727
49.30633,52.90912,5.000862,-1.548248
50.30828,52.94202,5.730608,1.551123
51.30956,52.80599,5.743074,4.94259
52.30971,53.05861,5.974314,7.10571
53.31226,53.19311,6.066619,10.66632
54.31632,52.81896,5.1334,15.13714
55.31948,52.70723,4.794827,17.7024
56.32083,52.54135,4.679492,19.26674
57.3217,52.74658,4.384833,22.07336
58.32637,52.73163,3.828544,27.07667
59.32959,50.80389,4.245715,31.58403
60.33186,49.54164,4.175561,33.27819
61.33444,49.18609,4.180363,34.8249
62.33694,48.57928,4.643466,37.6594
63.33895,51.51302,5.090344,40.77335
64.34116,54.89137,5.046042,43.68023
65.34255,56.04339,4.576776,46.81417
66.34629,56.39057,4.545793,47.04299
67.34843,56.32405,4.540518,46.97991
68.35171,53.15168,5.11502,43.34242
69.35583,53.15168,5.114939,43.34242
70.35655,53.15168,5.114939,43.34242
71.3579,53.15168,5.114939,43.34242
