Time,X,Y,Z
0.9863939,776.11,32.35128,759.04
1.990079,776.11,32.34746,759.04
3.018733,776.11,32.34615,759.04
4.038893,776.11,32.34615,759.04
5.055293,775.4467,32.38113,760.2144
6.056128,772.8483,32.38113,764.4911
7.061313,770.3064,32.82529,768.8269
8.078131,767.8053,33.57138,773.2533
9.102166,765.1392,34.09848,777.6165
10.11156,762.8894,34.81562,780.9995
11.12763,762.8894,34.81491,780.9995
12.15244,760.1448,35.32969,782.7012
13.16753,755.6953,36.04952,785.1398
14.16952,751.1954,37.84342,787.3423
15.17588,746.6279,39.45258,789.4523
16.17825,742.8604,40.59419,790.9156
17.19743,742.8604,40.59256,790.9156
