Time,X,Y,Z
0.9847404,776.11,32.35128,759.04
2.055303,775.866,32.37496,759.8447
3.100079,774.0391,32.38112,764.7288
4.145989,771.9436,32.55632,769.5202
5.179603,769.3787,32.91001,768.4848
6.209003,770.3431,32.4924,763.5463
7.243011,773.2328,32.38112,759.6953
8.297987,776.357,32.33119,763.9173
9.328304,777.7203,32.38112,768.8828
10.34188,775.1029,32.56101,773.01
11.34349,771.9543,33.57138,776.8976
12.34493,768.5594,33.68552,780.5782
13.37781,765.0064,35.10359,784.3259
14.38041,761.556,35.94856,787.9625
15.38213,758.3286,36.96743,791.4375
