Time,X,Y,Z
237.5704,23.05,3.305969,8.87
238.5754,23.05,3.305969,8.87
239.5798,23.05,3.305969,8.87
240.5804,23.05,3.305969,8.87
241.5838,23.05,3.305969,8.87
242.5854,23.05,3.305969,8.87
243.5874,23.05,3.305969,8.87
244.5906,23.05,3.305969,8.87
245.5958,23.05,3.305969,8.87
246.6008,23.05,3.305969,8.87
247.6262,23.05,3.305969,8.87
248.6509,23.05,3.305969,8.87
249.6586,23.05,3.305969,8.87
250.6613,23.05,3.305969,8.87
251.666,24.54876,3.305969,8.11062
252.671,24.06942,3.305969,7.46706
253.6739,21.60836,3.30597,7.832297
254.6779,22.47038,3.30597,7.786484
255.6795,23.94365,3.305969,7.267381
256.683,23.92106,3.30597,7.276508
257.7138,20.68523,3.305969,7.900687
258.7363,17.5185,3.305969,9.237474
259.7382,18.90895,3.305969,12.42725
260.7412,22.16476,3.305969,10.94843
261.7465,24.37002,3.305969,8.859054
262.7502,24.85236,3.305969,8.191746
263.776,24.85236,3.305969,8.191746
264.7816,24.85236,3.305969,8.191746
265.809,24.85236,3.305969,8.191746
266.8102,24.85236,3.305969,8.191746
267.8148,24.85236,3.305969,8.191746
268.8194,26.60092,3.305969,7.136567
269.8198,24.56748,3.305969,7.334774
270.8199,23.52332,3.305969,7.651805
271.8199,24.39239,3.305969,7.635529
272.8258,25.21819,3.305969,7.290745
273.828,22.95646,3.30597,7.508217
274.8282,24.49981,3.305969,7.416467
275.8337,21.80949,3.305969,7.707073
276.8352,25.18848,3.305969,7.521495
277.8394,25.18848,3.305969,7.521495
278.8394,20.78005,3.305969,8.914639
279.8451,21.21553,3.305969,9.435067
280.8486,25.224,3.305969,7.018548
281.8513,25.224,3.305969,7.018548
282.8737,25.224,3.305969,7.018548
283.8824,25.224,3.305969,7.018548
284.8857,25.224,3.305969,7.018548
285.8896,25.224,3.305969,7.018548
286.9115,22.56079,3.305969,8.10973
287.9203,24.00385,3.30597,7.433969
288.9228,25.41676,3.305969,6.913693
289.926,25.41676,3.305969,6.913693
290.94,25.41676,3.305969,6.913693
291.9548,25.41676,3.305969,6.913693
292.9551,25.41676,3.305969,6.913693
293.9599,24.74199,3.30597,6.98569
294.9609,22.94839,3.30597,6.843984
295.9662,25.53017,3.305969,7.171874
296.9698,26.62834,3.30597,6.605721
297.998,22.64917,3.305969,8.499756
299.0018,21.74713,3.305969,8.935972
300.0021,25.11273,3.305969,7.188859
301.0063,25.11273,3.305969,7.188859
302.0332,24.45583,3.30597,7.516873
303.0381,22.43752,3.30597,8.368196
304.0649,25.50019,3.305969,6.903582
305.0664,24.44177,3.30597,7.43385
306.0707,22.09887,3.30597,8.635605
307.0746,25.64306,3.305969,6.969635
308.0753,25.64306,3.305969,6.969635
309.0765,22.56926,3.305969,7.269896
310.1039,23.76337,3.30597,7.396597
311.1084,25.20395,3.305969,6.874316
312.1112,25.16592,3.305969,6.956768
313.1148,24.8153,3.305969,7.002696
314.1393,24.8153,3.305969,7.002696
315.148,24.8153,3.305969,7.002696
316.1541,24.8153,3.305969,7.002696
317.157,24.8153,3.305969,7.002696
