Time,X,Y,Z
1.072587,776.11,32.35128,759.04
2.095755,776.11,32.35003,759.04
3.101974,774.0422,32.38113,760.2564
4.136032,769.7471,32.51982,761.9293
5.181709,767.7032,32.69949,761.7574
6.206357,770.5192,32.45917,764.6448
7.213838,770.5192,32.45658,764.6448
8.24687,770.1895,32.47168,765.4713
9.277938,771.1065,32.41711,765.8748
10.30881,771.1065,32.41711,765.8748
11.35295,771.8483,32.38336,765.5583
12.37564,771.1065,32.43688,767.2707
13.37703,770.1196,32.80126,768.5486
14.3784,769.6888,33.19173,769.6061
15.38233,768.2094,33.5611,771.295
16.39012,768.3516,33.5377,770.3705
17.39294,769.1612,32.51734,765.4222
18.4044,770.2754,32.47303,760.4896
19.41162,771.6246,32.51819,755.6379
