Time,X,Y,Z
1.115898,1407.74,22.68329,431.33
2.123104,1408.401,23.21388,432.9525
3.125516,1407.355,23.45841,437.5341
4.155051,1403.783,22.61888,441.2163
5.15893,1400.83,22.7612,445.2371
6.188268,1397.355,22.90085,444.5116
7.193562,1397.039,22.69874,439.5989
8.22181,1399.281,22.50954,435.4111
9.225483,1399.281,22.50833,435.4111
10.26217,1399.281,22.50833,435.4111
11.3186,1399.281,22.50833,435.4111
12.32197,1399.281,22.50833,435.4111
13.34636,1399.281,22.50833,435.4111
14.35044,1403.522,22.74952,437.4047
15.35183,1404.335,22.60273,442.1782
16.35816,1402.46,22.69456,445.4779
17.37217,1400.022,22.75221,442.1418
18.41244,1400.022,22.75188,442.1418
19.45192,1400.022,22.75146,442.1418
20.45681,1400.022,22.75146,442.1418
21.47349,1400.022,22.75125,442.1418
22.48117,1402.282,22.51025,440.9581
23.51278,1402.129,22.7053,443.7378
24.54262,1398.003,22.88717,443.8573
25.54377,1397.579,22.62468,439.0995
26.5471,1400.282,22.58048,434.9049
27.55015,1403.417,22.47294,430.9899
28.55597,1407.873,22.42498,429.0635
29.55659,1408.406,23.41913,433.6871
30.5592,1408.748,23.41749,438.6732
31.56239,1406.728,22.78258,442.9817
32.56396,1402.322,22.6964,444.7825
33.56555,1400.59,22.82112,446.6322
34.56603,1398.746,22.95545,449.1717
35.59496,1393.988,22.9981,448.8021
36.60054,1396.816,22.95046,447.3448
37.60364,1394.981,22.94659,446.6755
38.63193,1391.737,22.52758,444.9762
39.63555,1394.591,22.80983,444.4869
40.63701,1395.386,22.88853,445.4944
41.64334,1395.79,22.88533,445.3425
42.64527,1396.711,22.97668,447.92
43.64619,1396.905,22.89308,446.5646
44.64707,1396.513,22.89228,446.2771
45.65132,1396.767,22.87621,446.177
46.68018,1395.907,22.88529,445.791
47.68265,1395.907,22.88391,445.791
48.71091,1395.907,22.88389,445.791
49.71613,1395.907,22.88387,445.791
50.717,1395.907,22.88387,445.791
51.72119,1395.907,22.88387,445.791
52.72165,1395.907,22.88387,445.791
53.73317,1395.907,22.88387,445.791
54.7785,1395.907,22.88387,445.791
55.78159,1395.907,22.88387,445.791
56.81364,1395.907,22.88387,445.791
57.81674,1395.907,22.88387,445.791
58.84433,1395.907,22.88387,445.791
59.84803,1395.907,22.88378,445.791
60.84962,1395.907,22.88378,445.791
61.85321,1395.907,22.88378,445.791
62.85469,1395.907,22.88378,445.791
63.86246,1395.907,22.88378,445.791
64.87811,1395.907,22.88378,445.791
65.91492,1395.907,22.88378,445.791
66.91927,1396.192,22.89619,444.9959
67.94892,1398.065,22.77461,441.0481
68.95189,1402.842,22.61085,439.5226
69.95606,1405.064,23.09663,435.4188
70.98354,1409.521,24.0206,434.8265
71.98613,1407.954,23.32189,439.1443
72.99071,1403.662,22.75747,438.6787
73.99304,1401.913,22.60359,434.151
74.99551,1401.512,22.52899,432.1369
76.02453,1403.452,22.78611,436.8978
77.03074,1402.06,22.56881,439.1875
78.03083,1402.06,22.56881,439.1875
