Time,X,Y,Z
1.13756,1449.46,21.24121,460.56
2.150704,1449.46,21.24121,460.56
3.155561,1449.46,21.24121,460.56
4.159728,1449.46,21.23668,460.56
5.160582,1452.606,20.62883,459.9384
6.165792,1457.334,20.17405,458.7886
7.169281,1460.715,19.98393,457.6245
8.170996,1460.301,19.79987,462.4158
9.173685,1460.359,20.05604,467.2631
10.17582,1458.553,20.52274,471.6122
11.1824,1453.887,20.75115,472.5393
12.18435,1449.405,21.34179,473.6122
13.18445,1446.675,21.53308,469.7918
14.18698,1442.406,21.69244,468.1592
15.19019,1440.534,21.77165,466.9379
16.19151,1439.699,21.6266,467.0394
17.19272,1441.614,21.71226,469.6436
18.19656,1442.64,21.68197,467.5517
19.19791,1441.963,21.54748,464.3477
20.20127,1443.13,21.47563,463.0948
21.20477,1443.841,21.63341,463.1872
22.20677,1442.633,21.48581,464.3236
23.2081,1442.577,21.68,465.4424
24.21208,1442.262,21.686,469.2432
25.21382,1442.479,21.6258,472.6393
26.21617,1444.912,21.54161,473.0858
27.21907,1443.963,21.58445,471.8651
28.22078,1441.805,21.65959,471.666
29.22349,1437.183,21.80124,470.6337
30.22656,1436.191,21.84966,475.2723
31.22897,1440.036,21.72302,477.8116
32.23027,1441.495,21.67388,474.2611
33.23299,1440.091,21.72261,477.6439
34.23568,1442.246,21.64913,479.8401
35.23684,1444.427,21.6338,482.7521
36.23967,1446.451,21.56342,482.2672
37.24178,1445.326,21.6099,482.7536
38.24376,1447.619,21.54032,482.4645
39.2464,1446.593,21.56878,482.409
40.25124,1443.269,21.62275,479.2417
41.25252,1444.634,21.58333,474.9078
42.25405,1447.197,21.4915,475.0371
43.25686,1447.197,21.491,475.0371
44.25788,1447.197,21.491,475.0371
45.26241,1447.197,21.491,475.0371
46.26366,1447.197,21.491,475.0371
47.26403,1447.197,21.491,475.0371
48.26545,1447.197,21.491,475.0371
49.28115,1447.197,21.491,475.0371
50.28714,1447.197,21.491,475.0371
51.29792,1447.197,21.491,475.0371
