Time,X,Y,Z
50.72366,1407.74,22.68314,431.33
51.72755,1405.821,22.78212,432.3995
52.73617,1403.27,22.76964,436.0598
53.7603,1398.151,22.5946,436.1925
54.79115,1393.01,22.3867,436.5291
55.81814,1387.876,20.24257,436.4766
56.84884,1382.725,16.54204,436.3096
57.87549,1377.596,12.24446,436.1062
58.8849,1372.987,9.976292,434.6347
59.88915,1368.351,8.832786,432.7221
60.89107,1363.391,8.857561,432.5361
61.89111,1358.425,9.190184,433.113
62.89678,1353.434,9.37083,432.6952
63.89812,1353.007,9.384869,432.631
64.89849,1349.073,9.452332,431.364
65.90264,1344.269,9.255999,429.9704
66.90726,1339.364,9.037957,428.8903
67.93182,1334.326,8.733271,427.9744
68.93781,1329.336,8.469077,427.6678
69.96817,1324.2,8.448422,428.0483
70.97291,1319.846,7.924335,426.8523
71.97405,1316.286,9.254656,428.9119
72.97701,1313.338,8.679394,427.9256
73.98064,1308.772,8.504117,427.588
74.98351,1304.871,9.210382,429.6127
75.98464,1300.969,9.119249,432.3666
76.98631,1297.266,8.823842,435.1524
77.99081,1293.234,8.295201,437.2753
78.99213,1289.973,8.002475,440.9223
79.9959,1287.147,7.771161,444.5156
81.02341,1283.18,7.140705,447.7797
82.02768,1278.786,6.699982,449.7375
83.05566,1276.539,6.699981,451.5694
84.05643,1275.231,6.699982,454.2446
85.0601,1272.807,7.226063,458.0302
86.06441,1271.771,7.877369,462.9202
87.09133,1273.658,8.500636,467.5645
88.09183,1275.973,8.973708,471.4401
89.09484,1279.57,9.499501,474.6752
90.09758,1280.453,9.715838,479.5193
91.10085,1281.772,10.0442,484.262
92.10182,1284.748,10.37181,488.2301
93.12816,1289.065,10.64296,490.5125
94.13017,1292.046,10.78999,494.4904
95.13162,1295.57,10.69124,497.9505
96.1376,1299.918,10.34379,500.4597
97.14184,1304.251,10.20369,502.9662
98.16872,1308.205,10.29179,506.2219
99.17141,1311.072,10.07993,510.2338
100.1716,1313.113,9.941118,514.7694
101.177,1316.516,9.856533,518.4619
102.1824,1319.842,9.868402,522.2199
103.1862,1323.543,10.0576,525.6102
104.1908,1326.373,11.09111,529.4009
105.1937,1329.86,13.43752,532.9979
106.2012,1332.487,16.09978,537.148
107.2032,1333.756,18.59146,541.9385
108.2053,1334.26,21.11659,546.6672
109.2106,1331.699,22.65037,550.7266
110.2317,1330.238,24.47747,555.327
111.2596,1328.386,25.07286,560.1102
112.2876,1325.881,25.1573,564.5963
113.2915,1323.339,25.23082,568.9183
114.2934,1320.881,25.28003,573.2318
115.2942,1317.502,25.37777,576.9216
116.3255,1314.007,25.5351,580.7127
117.3306,1309.918,25.65979,583.3444
118.3326,1307.21,25.76429,587.2343
119.3364,1306.81,25.73623,592.0681
120.3408,1305.066,25.78446,596.7173
121.3432,1302.951,25.79603,601.2159
122.3444,1300.418,25.81451,605.4293
123.3717,1297.893,25.77096,609.1696
124.3755,1296.998,25.89063,614.0266
125.3765,1294.399,25.79974,618.0847
126.3788,1290.641,25.87783,621.3978
127.407,1288.813,25.88755,626.1367
128.4113,1287.594,25.85483,631.0037
129.414,1283.649,25.95579,633.0667
130.4143,1279.182,26.08188,634.5054
131.4199,1274.451,26.22768,636.0565
132.4232,1269.466,26.41992,636.5731
133.4483,1264.392,26.55783,637.2834
134.4531,1259.422,26.6905,637.9982
135.4568,1255.753,26.80977,638.6868
136.4592,1251.253,26.9854,640.4135
137.461,1247.716,27.06748,643.9089
138.465,1243.38,27.28251,646.124
139.4692,1238.622,27.86164,647.7028
140.4711,1234.62,28.58159,650.6362
141.4732,1230.895,29.25736,653.9854
142.474,1226.164,30.19773,654.5206
143.4779,1221.237,30.28121,655.246
144.4801,1216.314,30.44166,656.0735
145.4818,1212.274,30.56282,658.9556
146.484,1207.975,30.36503,659.7626
147.4874,1203.251,30.14691,658.7791
148.49,1198.381,29.51248,657.6635
149.4928,1193.49,29.22905,656.5798
150.5197,1188.401,29.88313,655.9507
151.5238,1183.719,30.38038,654.371
152.5273,1179.341,30.97556,652.4609
153.5523,1174.625,31.40958,650.4974
154.579,1170.69,32.35404,647.4812
155.5846,1167.536,33.77015,643.5966
156.5869,1163.33,34.97321,640.9026
157.5876,1158.898,35.83573,638.5797
158.6115,1154.544,36.27792,637.4423
159.6203,1151.886,36.48008,636.2807
160.6249,1150.358,36.54216,635.8364
161.6253,1150.416,36.53958,635.8472
162.6531,1150.416,36.53958,635.8472
163.6611,1146.886,36.73936,634.7964
